constituencyId,constituencyName,prefix,firstName,lastName,partyName,partyAbbreviation,isHonourable,isDoctor,isCounsel,profileUrl,imagePath,imageDescription
167,Langley-Walnut Grove,Ms.,Misty,Van Popta,Conservative Party of British Columbia,Conservative Party of British Columbia,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Van%20Popta-Misty,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Van Popta-Misty.jpg,MLA Misty Van Popta
168,Langley-Willowbrook,Ms.,Jody,Toor,Conservative Party of British Columbia,Conservative Party of British Columbia,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Toor-Jody,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Toor-Jody.jpg,MLA Jody Toor
169,Maple Ridge East,Mr.,Lawrence,Mok,Conservative Party of British Columbia,Conservative Party of British Columbia,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Mok-Lawrence,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Mok-Lawrence.jpg,MLA Lawrence Mok
170,Nanaimo-Gabriola Island,Ms.,Sheila,Malcolmson,British Columbia New Democratic Party,BC NDP,True,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Malcolmson-Sheila,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Malcolmson-Sheila.jpg,MLA Sheila Malcolmson
171,Nanaimo-Lantzville,Mr.,George,Anderson,British Columbia New Democratic Party,BC NDP,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Anderson-George,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/George_Anderson_MLA Cropped.jpg,MLA George Anderson
172,New Westminster-Coquitlam,Ms.,Jennifer,Whiteside,British Columbia New Democratic Party,BC NDP,True,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Whiteside-Jennifer,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Whiteside-Jennifer.jpg,MLA Jennifer Whiteside
173,North Coast-Haida Gwaii,Ms.,Laanas - Tamara,Davidson,British Columbia New Democratic Party,BC NDP,True,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Davidson-Laanas%20-%20Tamara,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Davidson-Tamara.jpg,MLA Tamara Davidson
174,Penticton-Summerland,Ms.,Amelia,Boultbee,Independent,Independent,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Boultbee-Amelia,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Boultbee-Amelia.jpg,MLA Amelia Boultbee
175,Port Moody-Burquitlam,Mr.,Rick,Glumac,British Columbia New Democratic Party,BC NDP,True,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Glumac-Rick,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Glumac-Rick.jpg,MLA Rick Glumac
176,Prince George-North Cariboo,Mr.,Sheldon,Clare,Conservative Party of British Columbia,Conservative Party of British Columbia,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Clare-Sheldon,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Clare-Sheldon.jpg,MLA Sheldon Clare
